,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomeBand,AgeGroup,TenureGroup,RiskScore
0,41,1,Rarely,1102,Sales,1,2,Life Sciences,1,2,Female,94,3,2,Sales Executive,4,Single,5993.0,19479.0,8,1,11,3,1,0,8,0,1,6,4,0,5,Medio,Entre 26 y 45,6-9,7
1,49,0,Frequently,279,Research & Development,8,1,Life Sciences,2,3,Male,61,2,2,Research Scientist,2,Married,5130.0,24907.0,1,0,23,4,4,1,10,3,3,10,7,1,7,Medio,A partir de 45,10+,2
2,37,1,Rarely,1373,Research & Development,2,2,Other,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090.0,2396.0,6,1,15,3,2,0,7,3,3,0,0,0,0,Medio,Entre 26 y 45,0-2,5
3,33,0,Frequently,1392,Research & Development,3,4,Life Sciences,5,4,Female,56,3,1,Research Scientist,3,Married,2909.0,23159.0,1,1,11,3,3,0,8,3,3,8,7,3,0,Medio,Entre 26 y 45,6-9,2
4,27,0,Rarely,591,Research & Development,2,1,Medical,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468.0,16632.0,9,0,12,3,4,1,6,3,3,2,2,2,2,Medio,Entre 26 y 45,0-2,3
5,32,0,Frequently,1005,Research & Development,2,2,Life Sciences,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068.0,11864.0,0,0,13,3,3,0,8,2,2,7,7,3,6,Medio,Entre 26 y 45,6-9,2
6,59,0,Rarely,1324,Research & Development,3,3,Medical,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670.0,9964.0,4,0,20,4,1,3,12,3,2,1,0,0,4,Medio,A partir de 45,0-2,7
7,30,0,Rarely,1358,Research & Development,24,1,Life Sciences,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693.0,13335.0,1,0,22,4,2,1,1,2,3,1,0,0,0,Medio,Entre 26 y 45,0-2,3
8,38,0,Frequently,216,Research & Development,23,3,Life Sciences,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526.0,8787.0,0,0,21,4,2,0,10,2,3,9,7,1,8,Medio,Entre 26 y 45,6-9,2
9,36,0,Rarely,1299,Research & Development,27,3,Unknown,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237.0,16577.0,6,0,13,3,2,2,17,3,2,7,7,7,4,Medio,Entre 26 y 45,6-9,4
10,35,0,Rarely,809,Research & Development,16,3,Medical,14,1,Male,84,4,1,Laboratory Technician,3,Married,2426.0,16479.0,0,0,13,3,3,1,6,5,3,5,4,0,3,Medio,Entre 26 y 45,3-5,1
